Defect_ID,Project,Phase,Module,Severity,Priority,Status,Root_Cause,Operating_System,Created_Date,Closed_Date,Is_Closed,Resolution_Time,Defect_Age,Data_Quality_Flag
SCGCQ01267,B,BST,BIOS,Severity 3,Low,Deferred,OS-specific,Linux,14-03-2023,,0,,902,0
SCGCQ02205,B,Integration 2,Driver,Severity 1,Low,In Progress,FW Integration,SLES,22-11-2023,25-12-2023,1,33,649,0
SCGCQ03891,E,Integration 1,Driver,Severity 3,High,Re-open,Driver,Linux,13-09-2023,18-10-2023,1,35,719,0
SCGCQ01108,E,Final Release,Application,Severity 1,Low,Open,OS-specific,Windows,14-10-2023,07-11-2023,1,24,688,0
SCGCQ03537,E,Final Release,FW,Severity 3,High,Re-open,,RHEL,27-04-2023,05-06-2023,1,39,858,0
SCGCQ01766,B,Integration 1,Driver,Severity 1,Medium,Deferred,OS-specific,Linux,10-06-2023,16-06-2023,1,6,814,0
SCGCQ04342,E,BST,Application,Severity 3,Medium,In Progress,Change Request,RHEL,23-07-2023,15-08-2023,1,23,771,0
SCGCQ02908,D,System Test,Application,Severity 1,Medium,Closed,Product Request,Pre-Boot,07-05-2023,11-06-2023,1,35,848,0
SCGCQ01168,D,Final Release,FW,Severity 3,High,Open,Driver,RHEL,27-02-2023,17-04-2023,1,49,917,0
SCGCQ00004,E,Final Release,BIOS,Severity 2,High,Open,Code Integration,RHEL,08-06-2023,,0,,816,0
SCGCQ02437,B,Final Release,Application,Severity 2,High,Re-open,Code Integration,Windows,03-11-2023,14-11-2023,1,11,668,0
SCGCQ00784,C,Final Release,FW,Severity 3,Low,Closed,Code Integration,Ubuntu,20-09-2023,17-10-2023,1,27,712,0
SCGCQ01193,E,BST,Application,Severity 2,High,Deferred,,Linux,02-01-2023,25-02-2023,1,54,973,0
SCGCQ02865,D,System Test,FW,Severity 4,Low,Deferred,FW Integration,RHEL,16-08-2023,03-10-2023,1,48,747,0
SCGCQ04545,A,Final Release,FW,Severity 2,Low,Deferred,Code Integration,RHEL,28-06-2023,22-07-2023,1,24,796,0
SCGCQ01242,A,BST,Driver,Severity 2,Medium,In Progress,,Linux,26-04-2023,31-05-2023,1,35,859,0
SCGCQ04137,C,System Test,Application,Severity 1,High,Open,Change Request,Linux,06-05-2023,15-05-2023,1,9,849,0
SCGCQ04992,A,Final Release,Application,Severity 4,Medium,Re-open,OS-specific,SLES,25-05-2023,,0,,830,0
SCGCQ02388,A,System Test,Driver,Severity 2,Low,Closed,OS-specific,Ubuntu,04-06-2023,19-07-2023,1,45,820,0
SCGCQ00582,A,Final Release,BIOS,Severity 3,High,Re-open,Change Request,Pre-Boot,17-04-2023,06-05-2023,1,19,868,0
SCGCQ03911,C,System Test,Driver,Severity 4,Medium,In Progress,Driver,RHEL,13-07-2023,30-07-2023,1,17,781,0
SCGCQ03720,D,Integration 1,Driver,Severity 3,High,Re-open,Code Integration,RHEL,22-06-2023,03-08-2023,1,42,802,0
SCGCQ00481,A,Integration 2,BIOS,Severity 4,Low,Open,,Pre-Boot,28-08-2023,01-10-2023,1,34,735,0
SCGCQ03876,B,Integration 1,FW,Severity 4,Low,Closed,Driver,SLES,13-01-2023,08-03-2023,1,54,962,0
SCGCQ02569,A,System Test,Application,Severity 2,High,Deferred,FW Integration,Ubuntu,28-07-2023,11-09-2023,1,45,766,0
SCGCQ02411,B,System Test,FW,Severity 1,Low,In Progress,Change Request,Ubuntu,13-11-2023,26-11-2023,1,13,658,0
SCGCQ04751,B,Integration 2,FW,Severity 1,Low,In Progress,Product Request,Linux,15-08-2023,30-08-2023,1,15,748,0
SCGCQ02144,B,Integration 1,Application,Severity 4,Medium,In Progress,Code Integration,Ubuntu,19-12-2023,12-02-2024,1,55,622,0
SCGCQ00695,B,BST,Application,Severity 2,Low,Deferred,Code Integration,Windows,13-03-2023,,0,,903,0
SCGCQ00452,A,Integration 2,FW,Severity 3,High,Open,FW Integration,Ubuntu,04-05-2023,25-06-2023,1,52,851,0
